0.06	0.00	0.00
0.66	0.00	0.00
1.26	0.01	0.00
1.86	0.03	0.00
2.46	0.05	0.00
3.06	0.08	0.00
3.66	0.11	0.00
4.26	0.15	0.00
4.86	0.20	0.00
5.46	0.25	0.00
6.06	0.31	0.00
6.66	0.37	0.00
7.26	0.44	0.00
7.86	0.52	0.00
8.46	0.60	0.00
9.06	0.69	0.00
9.66	0.78	0.00
10.26	0.88	0.00
10.86	0.99	0.00
11.46	1.10	0.00
12.06	1.22	0.00
12.66	1.34	0.00
13.26	1.47	0.00
13.86	1.61	0.00
14.46	1.75	0.00
15.06	1.90	0.00
15.66	2.05	0.00
16.26	2.21	0.00
16.86	2.38	0.00
17.46	2.55	0.00
18.06	2.73	0.00
18.66	2.91	0.00
19.26	3.10	0.00
19.86	3.30	0.00
19.98	3.50	0.00
19.98	3.70	0.00
19.98	3.90	0.00
19.98	4.10	0.00
19.98	4.30	0.00
19.98	4.50	0.00
19.98	4.70	0.00
19.98	4.90	0.00
19.98	5.09	0.00
19.98	5.29	0.00
19.98	5.49	0.00
19.98	5.69	0.00
19.98	5.89	0.00
19.98	6.09	0.00
19.98	6.29	0.00
19.98	6.49	0.00
19.98	6.69	0.00
19.98	6.89	0.00
19.98	7.09	0.00
19.98	7.29	0.00
19.98	7.49	0.00
19.98	7.69	0.00
19.98	7.89	0.00
19.98	8.09	0.00
19.98	8.29	0.00
19.98	8.49	0.00
19.98	8.69	0.00
19.98	8.89	0.00
19.98	9.09	0.00
19.98	9.29	0.00
19.98	9.49	0.00
19.98	9.69	0.00
19.98	9.89	0.00
19.98	10.09	0.00
19.98	10.29	0.00
19.98	10.49	0.00
19.98	10.69	0.00
19.98	10.89	0.00
19.98	11.09	0.00
19.98	11.29	0.00
19.98	11.49	0.00
19.98	11.69	0.00
19.98	11.89	0.00
19.98	12.09	0.00
19.98	12.29	0.00
19.98	12.49	0.00
19.98	12.69	0.00
19.98	12.89	0.00
19.98	13.09	0.00
19.98	13.29	0.00
19.98	13.49	0.00
19.98	13.69	0.00
19.98	13.89	0.00
19.98	14.09	0.00
19.98	14.29	0.00
19.98	14.49	0.00
19.98	14.69	0.00
19.98	14.89	0.00
19.98	15.08	0.00
19.98	15.28	0.00
19.98	15.48	0.00
19.98	15.68	0.00
19.98	15.88	0.00
19.98	16.08	0.00
19.98	16.28	0.00
19.98	16.48	0.00
19.98	16.68	0.00
19.98	16.88	0.00
19.98	17.08	0.00
19.98	17.28	0.00
19.98	17.48	0.00
19.98	17.68	0.00
19.98	17.88	0.00
19.98	18.08	0.00
19.98	18.28	0.00
19.98	18.48	0.00
19.98	18.68	0.00
19.98	18.88	0.00
19.98	19.08	0.00
19.98	19.28	0.00
19.98	19.48	0.00
19.98	19.68	0.00
19.98	19.88	0.00
19.98	20.08	0.00
19.98	20.28	0.00
19.98	20.48	0.00
19.98	20.68	0.00
19.98	20.88	0.00
19.98	21.08	0.00
19.98	21.28	0.00
19.98	21.48	0.00
